ID,Absatz,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
3.94,Metaphysische Erörterung des Begriffs der Zeit.,4
2.524,Erste Betrachtung. Allgemeine Vergleichung der Art zur Gewißheit im mathematischen Erkenntnisse zu gelangen mit der im philosophischen.,0
4.631,§ 3. Anmerkung zur allgemeinen Eintheilung der Urtheile in analytische und synthetische.,0
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,0
6.385,Eintheilung der Metaphysik der Sitten überhaupt.,0
7.123,Friedens=Abschluß und Beilegung des Streits der Facultäten.,0
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),0
6.900,XVII. Vorbegriffe zur Eintheilung der Tugendlehre.,0
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.,3
9.494,"§. 22. Qualität der Urtheile: Bejahende, Verneinende, Unendliche.",0
6.456,Eintheilung der Erwerbung des äußeren Mein und Dein.,0
6.287,Einleitung in die Metaphysik der Sitten.,0
9.822,"Anmerkung. Diese beiden Methoden unterscheiden sich also der Art und nicht dem bloßen Vortrage nach, und Popularität in der Methode ist mithin etwas anders als Popularität im Vortrage.",0
5.669,"2) Die bildenden Künste oder die des Ausdrucks für Ideen in der Sinnenanschauung (nicht durch Vorstellungen der bloßen Einbildungskraft, die durch Worte aufgeregt werden) sind entweder die der Sinnenwahrheit oder des Sinnenscheins. Die erste heißt die Plastik, die zweite die Malerei. Beide machen Gestalten im Raume zum Ausdrucke für Ideen: jene macht Gestalten für zwei Sinne kennbar, dem Gesichte und Gefühl (obzwar dem letzteren nicht in Absicht auf Schönheit), diese nur für den erstern. Die ästhetische Idee ( Archetypon , Urbild) liegt zu beiden in der Einbildungskraft zum Grunde: die Gestalt aber, welche den Ausdruck derselben ausmacht ( Ektypon , Nachbild), wird entweder in ihrer körperlichen Ausdehnung (wie der Gegenstand selbst existirt) oder nach der Art, wie diese sich im Auge malt (nach ihrer Apparenz in einer Fläche), gegeben; oder, was auch das erstere ist, entweder die Beziehung auf einen wirklichen Zweck, oder nur der Anschein desselben der Reflexion zur Bedingung gemacht.",6
5.664,"Wenn wir also die schönen Künste eintheilen wollen, so können wir, wenigstens zum Versuche, kein bequemeres Princip dazu wählen, als die Analogie der Kunst mit der Art des Ausdrucks, dessen sich Menschen im Sprechen bedienen, um sich so vollkommen, als möglich ist, einander, d. i. nicht bloß ihren Begriffen, sondern auch Empfindungen nach, mitzutheilen **) . - Dieser besteht in dem Worte, der Geberdung und dem Tone (Articulation, Gesticulation und Modulation). Nur die Verbindung dieser drei Arten des Ausdrucks macht die vollständige Mittheilung des Sprechenden aus. Denn Gedanke, Anschauung und Empfindung werden dadurch zugleich und vereinigt auf den andern übergetragen.",3
9.80,"Man pflegt zu behaupten, daß Mathematik und Philosophie dem Objecte nach von einander unterschieden wären, indem die erstere von der Quantität, die letztere von der Qualität handele. Alles dieses ist falsch. Der Unterschied dieser Wissenschaften kann nicht auf dem Objecte beruhen, denn Philosophie geht auf alles, also auch auf quanta , und Mathematik zum Theil auch, sofern alles eine Größe hat. Nur die verschiedene Art des Vernunfterkenntnisses oder Vernunftgebrauches in der Mathematik und Philosophie macht allein den specifischen Unterschied zwischen diesen beiden Wissenschaften aus. Philosophie nämlich ist die Vernunfterkenntniß aus bloßen Begriffen, Mathematik hingegen die Vernunfterkenntniß aus der Construction der Begriffe.",3
3.135,1) Als allgemeine Logik abstrahirt sie von allem Inhalt der Verstandeserkenntniß und der Verschiedenheit ihrer Gegenstände und hat mit nichts als der bloßen Form des Denkens zu thun.,0
5.653,"Mit einem Worte, die ästhetische Idee ist eine einem gegebenen Begriffe beigesellte Vorstellung der Einbildungskraft, welche mit einer solchen Mannigfaltigkeit der Theilvorstellungen in dem freien Gebrauche derselben verbunden ist, daß für sie kein Ausdruck, der einen bestimmten Begriff bezeichnet, gefunden werden kann, die also zu einem Begriffe viel Unnennbares hinzu denken läßt, dessen Gefühl die Erkenntnißvermögen belebt und mit der Sprache, als bloßem Buchstaben, Geist verbindet.",2
3.72,"Ich nenne alle Vorstellungen rein (im transscendentalen Verstande), in denen nichts, was zur Empfindung gehört, angetroffen wird. Demnach wird die reine Form sinnlicher Anschauungen überhaupt im Gemüthe a priori angetroffen werden, worin alles Mannigfaltige der Erscheinungen in gewissen Verhältnissen angeschauet wird. Diese reine Form der Sinnlichkeit wird auch selber reine Anschauung heißen. So, wenn ich von der Vorstellung eines Körpers das, was der Verstand davon denkt, als Substanz, Kraft, Theilbarkeit etc., imgleichen was davon zur Empfindung gehört, als Undurchdringlichkeit, Härte, Farbe etc., absondere, so bleibt mir aus dieser empirischen Anschauung noch etwas übrig, nämlich Ausdehnung und Gestalt. Diese gehören zur reinen Anschauung, die a priori, auch ohne einen wirklichen Gegenstand der Sinne oder Empfindung, als eine bloße Form der Sinnlichkeit im Gemüthe stattfindet.",6
4.50,"Ich nenne alle Vorstellungen rein (im transscendentalen Verstande), in denen nichts, was zur Empfindung gehört, angetroffen wird. Demnach wird die reine Form sinnlicher Anschauungen überhaupt im Gemüthe a priori angetroffen werden, worin alles Mannigfaltige der Erscheinungen in gewissen Verhältnissen angeschauet wird. Diese reine Form der Sinnlichkeit wird auch selber reine Anschauung heißen. So, wenn ich von der Vorstellung eines Körpers das, was der Verstand davon denkt, als Substanz, Kraft, Theilbarkeit etc., imgleichen was davon zur Empfindung gehört, als Undurchdringlichkeit, Härte, Farbe etc., absondere, so bleibt mir aus dieser empirischen Anschauung noch etwas übrig, nämlich Ausdehnung und Gestalt. Diese gehören zur reinen Anschauung, die a priori, auch ohne einen wirklichen Gegenstand der Sinne oder Empfindung, als eine bloße Form der Sinnlichkeit im Gemüthe statt findet.",6
9.143,"Alle klaren Vorstellungen, auf die sich allein die logischen Regeln anwenden lassen, können nun unterschieden werden in Ansehung der Deutlichkeit und Undeutlichkeit. Sind wir uns der ganzen Vorstellung bewußt, nicht aber des Mannigfaltigen, das in ihr enthalten ist: so ist die Vorstellung undeutlich. Zur Erläuterung der Sache zuerst ein Beispiel in der Anschauung.",6
8.187,Was heißt: Sich im Denken orientiren?,0
3.333,"Das Princip derselben ist: In allen Erscheinungen hat das Reale, was ein Gegenstand der Empfindung ist, intensive Größe, d. i. einen Grad.",0
4.351,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",0
3.415,"2. Was mit den materialen Bedingungen der Erfahrung (der Empfindung) zusammenhängt, ist wirklich.",0
3.335,"Wahrnehmung ist das empirische Bewußtsein, d. i. ein solches, in welchem zugleich Empfindung ist. Erscheinungen, als Gegenstände der Wahrnehmung, sind nicht reine (bloß formale) Anschauungen, wie Raum und Zeit (denn die können an sich gar nicht wahrgenommen werden). Sie enthalten also über die Anschauung noch die Materien zu irgend einem Objecte überhaupt (wodurch etwas Existirendes im Raume oder der Zeit vorgestellt wird), d. i. das Reale der Empfindung als bloß subjective Vorstellung, von der man sich nur bewußt werden kann, daß das Subject afficirt sei, und die man auf ein Object überhaupt bezieht, in sich. Nun ist vom empirischen Bewußtsein zum reinen eine stufenartige Veränderung möglich, da das Reale desselben ganz verschwindet, und ein bloß formales Bewußtsein (a priori) des Mannigfaltigen im Raum und Zeit übrig bleibt: also auch eine Synthesis der Größenerzeugung einer Empfindung von ihrem Anfange, der reinen Anschauung - 0, an bis zu einer beliebigen Größe derselben. Da nun Empfindung an sich gar keine objective Vorstellung ist, und in ihr weder die Anschauung vom Raum, noch von der Zeit angetroffen wird, so wird ihr zwar keine extensive, aber doch eine Größe (und zwar durch die Apprehension derselben, in welcher das empirische Bewußtsein in einer gewissen Zeit von nichts - 0 bis zu ihrem gegebenen Maße erwachsen kann), also eine intensive Größe zukommen, welcher correspondirend allen Objecten der Wahrnehmung, so fern diese Empfindung enthält, intensive Größe, d. i. ein Grad des Einflusses auf den Sinn, beigelegt werden muß.",6
4.336,"Aller Zuwachs des empirischen Erkenntnisses und jeder Fortschritt der Wahrnehmung ist nichts als eine Erweiterung der Bestimmung des innern Sinnes, d. i. ein Fortgang in der Zeit, die Gegenstände mögen sein, welche sie wollen, Erscheinungen oder reine Anschauungen. Dieser Fortgang in der Zeit bestimmt alles und ist an sich selbst durch nichts weiter bestimmt, d. i. die Theile desselben sind nur in der Zeit und durch die Synthesis derselben, sie aber nicht vor ihr gegeben. Um deswillen ist ein jeder Übergang in der Wahrnehmung zu etwas, was in der Zeit folgt, eine Bestimmung der Zeit durch die Erzeugung dieser Wahrnehmung und, da jene immer und in allen ihren Theilen eine Größe ist, die Erzeugung einer Wahrnehmung als einer Größe durch alle Grade, deren keiner der kleinste ist, von dem Zero an bis zu ihrem bestimmten Grad. Hieraus erhellt nun die Möglichkeit, ein Gesetz der Veränderungen ihrer Form nach a priori zu erkennen. Wir anticipiren nur unsere eigene Apprehension, deren formale Bedingung, da sie uns vor aller gegebenen Erscheinung selbst beiwohnt, allerdings a priori muß erkannt werden können.",0
3.399,"Aller Zuwachs des empirischen Erkenntnisses und jeder Fortschritt der Wahrnehmung ist nichts als eine Erweiterung der Bestimmung des innern Sinnes, d. i. ein Fortgang in der Zeit, die Gegenstände mögen sein, welche sie wollen, Erscheinungen oder reine Anschauungen, dieser Fortgang in der Zeit bestimmt alles und ist an sich selbst durch nichts weiter bestimmt; d. i. die Theile desselben sind nur in der Zeit und durch die Synthesis derselben, sie aber nicht vor ihr gegeben. Um deswillen ist ein jeder Übergang in der Wahrnehmung zu etwas, was in der Zeit folgt, eine Bestimmung der Zeit durch die Erzeugung dieser Wahrnehmung, und da jene immer und in allen ihren Theilen eine Größe ist, die Erzeugung einer Wahrnehmung als einer Größe durch alle Grade, deren keiner der kleinste ist, von dem Zero an bis zu ihrem bestimmten Grad. Hieraus erhellt nun die Möglichkeit, ein Gesetz der Veränderungen ihrer Form nach a priori zu erkennen. Wir anticipiren nur unsere eigene Apprehension, deren formale Bedingung, da sie uns vor aller gegebenen Erscheinung selbst beiwohnt, allerdings a priori muß erkannt werden können.",0
4.298,"Alle Erscheinungen enthalten das Beharrliche (Substanz) als den Gegenstand selbst und das Wandelbare als dessen bloße Bestimmung, d. i. eine Art, wie der Gegenstand existirt.",0
9.1615,§. 7. Abweichung der Menschen von einander in Ansehung ihres Geschmacks.,0
9.269,"Das menschliche Erkennen ist von Seiten des Verstandes discursiv, d. h. es geschieht durch Vorstellungen, die das, was mehreren Dingen gemein ist, zum Erkenntnißgrunde machen, mithin durch Merkmale als solche. Wir erkennen also Dinge nur durch Merkmale und das heißt eben Erkennen, welches von Kennen herkommt.",6
7.761,A. Von der Gesichtsbildung.,0
9.1587,§. 3. Meinungen von der Ursache dieser Farbe.,0
5.696,§ 56. Vorstellung der Antinomie des Geschmacks.,0
4.399,Anmerkung zur Amphibolie der Reflexionsbegriffe.,0
3.478,Anmerkung zur Amphibolie der Reflexionsbegriffe.,0
9.313,Der dritte: etwas kennen ( noscere ) oder sich etwas in der Vergleichung mit andern Dingen vorstellen sowohl der Einerleiheit als der Verschiedenheit nach;,6
9.751,"I . Beförderung der logischen Vollkommenheit des Erkenntnisses durch Definition, Exposition und Beschreibung der Begriffe.",2
4.167,1. Von der Synthesis der Apprehension in der Anschauung.,0
9.433,"2. Der Ursprung der Begriffe in Ansehung ihrer Materie, nach welcher ein Begriff entweder empirisch oder willkürlich oder intellectuell ist, wird in der Metaphysik erwogen.",1
9.153,"Auf den hier angegebenen Unterschied zwischen intuitiven und discursiven Erkenntnissen, oder zwischen Anschauungen und Begriffen gründet sich die Verschiedenheit der ästhetischen und der logischen Vollkommenheit des Erkenntnisses.",0
9.811,"Verschiedene Eintheilungen eines Begriffes, die in verschiedener Absicht gemacht werden, heißen Nebeneintheilungen, und die Eintheilung der Glieder der Eintheilung wird eine Untereintheilung ( subdivisio ) genannt.",4
9.772,"Die Beschreibung ist die Exposition eines Begriffs, sofern sie nicht präcis ist.",2
9.412,Die Erkenntniß durch Begriffe heißt das Denken ( cognitio discursiva ).,2
9.429,Anmerkung. Die Form eines Begriffs als einer discursiven Vorstellung ist jederzeit gemacht.,2
9.539,"Grundsätze sind entweder intuitive oder discursive. Die erstern können in der Anschauung dargestellt werden und heißen Axiome ( axiomata ), die letztern lassen sich nur durch Begriffe ausdrücken und können Akroame ( acroamata ) genannt werden.",2
9.156,"Diese wesentliche ästhetische Vollkommenheit ist es auch, welche unter allen mit der logischen Vollkommenheit sich verträgt und am besten mit ihr verbinden läßt.",0
7.524,Von dem specifischen Unterschiede des vergleichenden und des vernünftelnden Witzes.,5
3.927,"Alle Blendwerke im Schließen entdecken sich am leichtesten, wenn man sie auf schulgerechte Art vor Augen stellt. Hier ist eine solche Darstellung.",0
9.863,"Von den Sinnen fangen sich unsere Erkenntnisse an. Sie geben uns die Materie, der die Vernunft nur eine schickliche Form ertheilt. Der Grund aller Kenntnisse liegt also in den Sinnen und in der Erfahrung, welche letztere entweder unsere eigne oder eine fremde ist.",6
6.147,"Es ist nur eine wahre Religion; aber es kann vielerlei Arten des Glaubens geben. - Man kann hinzusetzen, daß in den mancherlei sich der Verschiedenheit ihrer Glaubensarten wegen von einander absondernden Kirchen dennoch eine und dieselbe wahre Religion anzutreffen sein kann.",0
7.265,Über die Förmlichkeit der egoistischen Sprache.,3
4.1324,Dieser Lehrsatz bestimmt die Modalität der Bewegung in Ansehung der Phoronomie.,0
9.2441,"Was ist denn aber Religion? Religion ist das Gesetz in uns, in so fern es durch einen Gesetzgeber und Richter über uns Nachdruck erhält; sie ist eine auf die Erkenntniß Gottes angewandte Moral. Verbindet man Religion nicht mit Moralität, so wird Religion blos zur Gunstbewerbung. Lobpreisungen, Gebete, Kirchengehen sollen nur dem Menschen neue Stärke, neuen Muth zur Besserung geben, oder der Ausdruck eines von der Pflichtvorstellung beseelten Herzens sein. Sie sind nur Vorbereitungen zu guten Werken, nicht aber selbst gute Werke, und man kann dem höchsten Wesen nicht anders gefällig werden, als dadurch daß man ein besserer Mensch werde.",6
6.316,Folgende Begriffe sind der Metaphysik der Sitten in ihren beiden Theilen gemein.,6
7.663,Eintheilung der Leidenschaften.,0
7.86,II. Philosophische Grundsätze der Schriftauslegung zu Beilegung des Streits.,5
7.39,Eintheilung der Facultäten überhaupt.,0
7.97,"III. Einwürfe und Beantwortung derselben, die Grundsätze der Schriftauslegung betreffend.",5
6.371,A. Allgemeine Eintheilung der Rechtspflichten.,0
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität.",5
7.847,Grundzüge der Schilderung des Charakters der Menschengattung.,0
2.30,"Von den Rhombis, der Loxodromie, der Schiffsrose, der Schätzung des Weges und Correction derselben. Von Erfindung der Länge und Breite. Prüfung des Grundes. Andere Merkwürdigkeiten bei der Seefahrt. Von den merkwürdigsten Seereisen alter und neuer Zeiten. Von der Vermuthung neuer Länder und den Bemühungen sie zu entdecken.",0
7.616,Von den Affecten in Gegeneinanderstellung derselben mit der Leidenschaft.,0
6.285,Tafel der Eintheilung der Rechtslehre.,0
1.1066,Vorbereitung. Von der Beschaffenheit des Erdbodens in seinem Inwendigen.,0
2.319,1. Erweiterte Aussicht in den Inbegriff des Universum.,0
9.1328,"6. in der höhern Luft Meteore mancher Art. Diese Merkmale zeigen an, daß mit der Luft eine Veränderung vorgeht.",0
2.315,Eine Hypothese mechanischer Erklärungsart des Ursprungs der Weltkörper und der Ursachen ihrer Bewegungen gemäß den vorher erwiesenen Regeln.,0
2.349,1. Eintheilung aller möglichen Beweisgründe vom Dasein Gottes.,6
4.1300,Drittes mechanisches Gesetz. In aller Mittheilung der Bewegung sind Wirkung und Gegenwirkung einander jederzeit gleich.,0
3.855,IV. Auflösung der kosmologischen Idee von der Totalität der Abhängigkeit der Erscheinungen ihrem Dasein nach überhaupt.,0
2.254,"1. Eintheilung der Weltbegebenheiten, in so fern sie unter der Ordnung der Natur stehen oder nicht.",0
8.536,Der einzige Artikel dieser Art ist in dem Satze enthalten: Die Maximen der Philosophen über die Bedingungen der Möglichkeit des öffentlichen Friedens sollen von den zum Kriege gerüsteten Staaten zu Rathe gezogen werden.,0
5.452,Allgemeine Anmerkung zum ersten Abschnitte der Analytik.,6
6.733,Anhang erläuternder Bemerkungen zu den metaphysischen Anfangsgründen der Rechtslehre.,0
9.436,"1) die Comparation, d. i. die Vergleichung der Vorstellungen unter einander im Verhältnisse zur Einheit des Bewußtseins;",6
2.357,3. Prüfung der Beweisgründe der zweiten Art.,0
7.346,Allgemeine Anmerkung über die äußern Sinne.,0
4.458,"Bei dem großen Reichthum unserer Sprachen findet sich doch oft der denkende Kopf wegen des Ausdrucks verlegen, der seinem Begriffe genau anpaßt, und in dessen Ermangelung er weder andern, noch sogar sich selbst recht verständlich werden kann. Neue Wörter zu schmieden, ist eine Anmaßung zum Gesetzgeben in Sprachen, die selten gelingt, und ehe man zu diesem verzweifelten Mittel schreitet, ist es rathsam, sich in einer todten und gelehrten Sprache umzusehen, ob sich daselbst nicht dieser Begriff sammt seinem angemessenen Ausdrucke vorfinde; und wenn der alte Gebrauch desselben durch Unbehutsamkeit seiner Urheber auch etwas schwankend geworden wäre, so ist es doch besser, die Bedeutung, die ihm vorzüglich eigen war, zu befestigen (sollte es auch zweifelhaft bleiben, ob man damals genau eben dieselbe im Sinne gehabt habe), als sein Geschäfte nur dadurch zu verderben, daß man sich unverständlich machte.",2
3.540,"Bei dem großen Reichthum unserer Sprachen findet sich doch oft der denkende Kopf wegen des Ausdrucks verlegen, der seinem Begriffe genau anpaßt, und in dessen Ermangelung er weder andern, noch sogar sich selbst recht verständlich werden kann. Neue Wörter zu schmieden, ist eine Anmaßung zum Gesetzgeben in Sprachen, die selten gelingt, und ehe man zu diesem verzweifelten Mittel schreitet, ist es rathsam, sich in einer todten und gelehrten Sprache umzusehen, ob sich daselbst nicht dieser Begriff sammt seinem angemessenen Ausdrucke vorfinde; und wenn der alte Gebrauch desselben durch Unbehutsamkeit seiner Urheber auch etwas schwankend geworden wäre, so ist es doch besser, die Bedeutung, die ihm vorzüglich eigen war, zu befestigen (sollte es auch zweifelhaft bleiben, ob man damals genau eben dieselbe im Sinne gehabt habe), als sein Geschäfte nur dadurch zu verderben, daß man sich unverständlich machte.",2
9.364,"1) Formeln. Dieses sind Regeln, deren Ausdruck zum Muster der Nachahmung dient. Sie sind übrigens ungemein nützlich zur Erleichterung bei verwickelten Sätzen und der erleuchtetste Kopf sucht daher dergleichen zu erfinden.",6
4.34,Von dem Unterschiede analytischer und synthetischer Urtheile.,5
9.149,Die Deutlichkeit selbst kann eine zwiefache sein:,4
7.283,Von der Deutlichkeit und Undeutlichkeit im Bewußtsein seiner Vorstellungen.,4
9.466,In Ansehung des logischen Umfanges der Begriffe gelten folgende allgemeine Regeln:,4
9.415,§. 2. Materie und Form der Begriffe.,3
4.297,Erste Analogie. Grundsatz der Beharrlichkeit.,0
9.712,§. 84. Induction und Analogie - die beiden Schlußarten der Urtheilskraft.,0
6.753,Zusatz zur Erörterung der Begriffe des Strafrechts.,0
6.471,§ 14. Der rechtliche Act dieser Erwerbung ist Bemächtigung ( occupatio ).,0
5.400,§ 13. Das reine Geschmacksurtheil ist von Reiz und Rührung unabhängig.,0
7.656,"§ 80. Die subjective Möglichkeit der Entstehung einer gewissen Begierde, die vor der Vorstellung ihres Gegenstandes vorhergeht, ist der Hang ( propensio ); - die innere Nöthigung des Begehrungsvermögens zur Besitznehmung dieses Gegenstandes, ehe man ihn noch kennt, der Instinct (wie der Begattungstrieb, oder der Älterntrieb des Thiers seine Junge zu schützen u. d. g.). - Die dem Subject zur Regel (Gewohnheit) dienende sinnliche Begierde heißt Neigung ( inclinatio ). - Die Neigung, durch welche die Vernunft verhindert wird, sie in Ansehung einer gewissen Wahl mit der Summe aller Neigungen zu vergleichen, ist die Leidenschaft ( passio animi ).",0
7.30,II. Philosophische Grundsätze der Schriftauslegung zur Beilegung des Streits.,5
7.486,"§ 47. Zerstreuung ( distractio ) ist der Zustand einer Abkehrung der Aufmerksamkeit ( abstractio ) von gewissen herrschenden Vorstellungen durch Vertheilung derselben auf andere, ungleichartige. Ist sie vorsetzlich, so heißt sie Dissipation; die unwillkürliche aber ist Abwesenheit ( absentia ) von sich selbst.",0
9.962,"Jupiter hat einen Durchmesser von 18920 Meilen. Ein Jahr in ihm beträgt eilf unserer gemeinen Jahre, 315 Tage, 14 Stunden, 27 Minuten und 11 Secunden. Das Sonnenlicht bedarf einer Zeit von 42 Minuten 13 Secunden, ehe es diesen Planeten erreicht.",0
7.178,9. Welchen Ertrag wird der Fortschritt zum Besseren dem Menschengeschlecht abwerfen?,0
9.941,Aus dieser Bewegung der Erde nun um die Sonne entstehen folgende Kreise:,0
4.1220,Durch bloße Anziehungskraft ohne Zurückstoßung ist keine Materie möglich.,0
9.378,"Es giebt mehrere Ursachen, durch die das Vorurtheil des Alterthums erzeugt und unterhalten wird.",0
9.926,"den Äquator und zwar von Westen nach Osten hin in die bestimmten Grade abtheilt, weil die Bewegung der Erde eben diese ist *).",0
9.961,"Mars, der nur 920 Meilen im Durchmesser hält und seinen Umlauf um die Sonne innerhalb 686 Tagen, 23 Stunden und 30 1/2 Minuten zurücklegt, wobei er nur in einer Zeit von 12 Minuten und 22 Secunden das Sonnenlicht erst auffängt.",0
9.1555,"Sollte nicht, da nach der Sündfluth der mit Wasser bedeckt gewesene Meeresgrund trocknes Land geworden, der größte Theil seiner Salzigkeit von demselben ausgelaugt sein, dadurch die Salzigkeit des Meeres und die Unfruchtbarkeit des festen Landes entstanden sein würde?",0
3.903,Es sind nur drei Beweisarten vom Dasein Gottes aus speculativer Vernunft möglich.,6
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?,0
