ID,Absatz,ratio cognoscendi
4.198,"Nun nennen wir die Synthesis des Mannigfaltigen in der Einbildungskraft transscendental, wenn ohne Unterschied der Anschauungen sie auf nichts, als blos auf die Verbindung des Mannigfaltigen a priori geht, und die Einheit dieser Synthesis heißt transscendental, wenn sie in Beziehung auf die ursprüngliche Einheit der Apperception als a priori nothwendig vorgestellt wird. Da diese letztere nun der Möglichkeit aller Erkenntnisse zum Grunde liegt, so ist die transscendentale Einheit der Synthesis der Einbildungskraft die reine Form aller möglichen Erkenntniß, durch welche mithin alle Gegenstände möglicher Erfahrung a priori vorgestellt werden müssen.",
2.698,SECTIO II. De sensibilium atque intelligibilium discrimine generatim.,
3.225,"Die transscendentale Einheit der Apperception ist diejenige, durch welche alles in einer Anschauung gegebene Mannigfaltige in einen Begriff vom Object vereinigt wird. Sie heißt darum objectiv und muß von der subjectiven Einheit des Bewußtseins unterschieden werden, die eine Bestimmung des inneren Sinnes ist, dadurch jenes Mannigfaltige der Anschauung zu einer solchen Verbindung empirisch gegeben wird. Ob ich mir des Mannigfaltigen als zugleich oder nach einander empirisch bewußt sein könne, kommt auf Umstände oder empirische Bedingungen an; daher die empirische Einheit des Bewußtseins durch Association der Vorstellungen selbst eine Erscheinung betrifft und ganz zufällig ist. Dagegen steht die reine Form der Anschauung in der Zeit, bloß als Anschauung überhaupt, die ein gegebenes Mannigfaltiges enthält, unter der ursprünglichen Einheit des Bewußtseins lediglich durch die nothwendige Beziehung des Mannigfaltigen der Anschauung zum einen: Ich denke, also durch die reine Synthesis des Verstandes, welche a priori der empirischen zum Grunde liegt. Jene Einheit ist allein objectiv gültig: die empirische Einheit der Apperception, die wir hier nicht erwägen, und die auch nur von der ersteren unter gegebenen Bedingungen in concreto abgeleitet ist, hat nur subjective Gültigkeit. Einer verbindet die Vorstellung eines gewissen Worts mit einer Sache, der andere mit einer anderen Sache; und die Einheit des Bewußtseins in dem, was empirisch ist, ist in Ansehung dessen, was gegeben ist, nicht nothwendig und allgemein geltend.",
4.644,Prolegomena. Allgemeine Frage: Wie ist Erkenntniß aus reiner Vernunft möglich?,
9.722,§. 87. Prosyllogismen und Episyllogismen.,
3.1140,"Die eigentliche Ursache des Gebrauchs apagogischer Beweise in verschiedenen Wissenschaften ist wohl diese. Wenn die Gründe, von denen eine gewisse Erkenntniß abgeleitet werden soll, zu mannigfaltig oder zu tief verborgen liegen: so versucht man, ob sie nicht durch die Folgen zu erreichen sei. Nun wäre der modus ponens , auf die Wahrheit einer Erkenntniß aus der Wahrheit ihrer Folgen zu schließen, nur alsdann erlaubt, wenn alle möglichen Folgen daraus wahr sind; denn alsdann ist zu diesen nur ein einziger Grund möglich, der also auch der wahre ist. Dieses Verfahren aber ist unthunlich, weil es über unsere Kräfte geht, alle mögliche Folgen von irgend einem angenommenen Satze einzusehen; doch bedient man sich dieser Art zu schließen, obzwar freilich mit einer gewissen Nachsicht, wenn es darum zu thun ist, um etwas bloß als Hypothese zu beweisen, indem man den Schluß nach der Analogie einräumt: daß, wenn so viele Folgen, als man nur immer versucht hat, mit einem angenommenen Grunde wohl zusammenstimmen, alle übrige mögliche auch darauf einstimmen werden. Um deswillen kann durch diesen Weg niemals eine Hypothese in demonstrirte Wahrheit verwandelt werden. Der modus tollens der Vernunftschlüsse, die von den Folgen auf die Gründe schließen, beweiset nicht allein ganz strenge, sondern auch überaus leicht. Denn wenn auch nur eine einzige falsche Folge aus einem Satze gezogen werden kann, so ist dieser Satz falsch. Anstatt nun die ganze Reihe der Gründe in einem ostensiven Beweise durchzulaufen, die auf die Wahrheit einer Erkenntniß vermittelst der vollständigen Einsicht in ihre Möglichkeit führen kann, darf man nur unter den aus dem Gegentheil derselben fließenden Folgen eine einzige falsch finden, so ist dieses Gegentheil auch falsch, mithin die Erkenntniß, welche man zu beweisen hatte, wahr.",
4.609,Prolegomena.,
2.521,"Verum animo satis haec vestigia parva sagaci Sunt, per quae possis cognoscere caetera tute.",
6.51,Vitiis nemo sine nascitur. Horat..,
1.1021,"Hinc nexu substantiarum plane abolito, successio et tempus pariter facessunt.",
1.970,"PROP. VI. Exsistentiae suae rationem aliquid habere in se ipso, absonum est.",
1.931,Flammae prae ceterorum ignium genere singularis natura haec est.,
1.965,PROP. V. Nihil est verum sine ratione determinante.,
1.921,Naturam aeris et principii in ipso elastici causam indagare.,
1.945,"PROP. I. Veritatum omnium non datur principium UNICUM, absolute primum, catholicon.",
9.689,Das Princip der hypothetischen Schlüsse ist der Satz des Grundes: A ratione ad rationatum; a negatione rationati ad negationem rationis valet consequentia.,
4.624,"Es giebt synthetische Urtheile a posteriori, deren Ursprung empirisch ist; aber es giebt auch deren, die a priori gewiß sind, und die aus reinem Verstande und Vernunft entspringen. Beide kommen aber darin überein, daß sie nach dem Grundsatze der Analysis, nämlich dem Satze des Widerspruchs, allein nimmermehr entspringen können; sie erfordern noch ein ganz anderes Prinzip, ob sie zwar aus jedem Grundsatze, welcher er auch sei, jederzeit dem Satze des Widerspruchs gemäß abgeleitet werden müssen, denn nichts darf diesem Grundsatze zuwider sein, obgleich eben nicht alles daraus abgeleitet werden kann. Ich will die synthetischen Urtheile zuvor unter Classen bringen.",
9.758,Die gegebenen Begriffe einer analytischen Definition sind entweder a priori oder a posteriori gegeben; so wie die gemachten Begriffe einer synthetischen Definition entweder a priori oder a posteriori gemacht sind.,
9.765,§. 104. Analytische Definitionen durch Zergliederung a priori oder a posteriori gegebene Begriffe.,
3.316,"Auf solche Weise sind synthetische Urtheile a priori möglich, wenn wir die formalen Bedingungen der Anschauung a priori, die Synthesis der Einbildungskraft und die nothwendige Einheit derselben in einer transscendentalen Apperception, auf ein mögliches Erfahrungserkenntniß überhaupt beziehen und sagen: die Bedingungen der Möglichkeit der Erfahrung überhaupt sind zugleich Bedingungen der Möglichkeit der Gegenstände der Erfahrung und haben darum objective Gültigkeit in einem synthetischen Urtheile a priori.",
3.241,"Diese Synthesis des Mannigfaltigen der sinnlichen Anschauung, die a priori möglich und nothwendig ist, kann figürlich ( synthesis speciosa ) genannt werden zum Unterschiede von derjenigen, welche in Ansehung des Mannigfaltigen einer Anschauung überhaupt in der bloßen Kategorie gedacht würde und Verstandesverbindung ( synthesis intellectualis ) heißt; beide sind transscendental, nicht bloß weil sie selbst a priori vorgehen, sondern auch die Möglichkeit anderer Erkenntniß a priori gründen.",
3.1061,"Synthetische Sätze, die auf Dinge überhaupt, deren Anschauung sich a priori gar nicht geben läßt, gehen, sind transscendental. Demnach lassen sich transscendentale Sätze niemals durch Construction der Begriffe, sondern nur nach Begriffen a priori geben. Sie enthalten bloß die Regel, nach der eine gewisse synthetische Einheit desjenigen, was nicht a priori anschaulich vorgestellt werden kann (der Wahrnehmungen), empirisch gesucht werden soll. Sie können aber keinen einzigen ihrer Begriffe a priori in irgend einem Falle darstellen, sondern thun dieses nur a posteriori, vermittelst der Erfahrung, die nach jenen synthetischen Grundsätzen allererst möglich wird.",
4.263,"Auf solche Weise sind synthetische Urtheile a priori möglich, wenn wir die formale Bedingungen der Anschauung a priori, die Synthesis der Einbildungskraft und die nothwendige Einheit derselben in einer transscendentalen Apperception, auf ein mögliches Erfahrungserkenntniß überhaupt beziehen und sagen: die Bedingungen der Möglichkeit der Erfahrung überhaupt sind zugleich Bedingungen der Möglichkeit der Gegenstände der Erfahrung und haben darum objective Gültigkeit in einem synthetischen Urtheile a priori.",
2.156,"Ne mea dona tibi studio disposta fideli, Intellecta prius quam sint, contempta relinquas. LUCRETIUS.",
1.972,"COROLLARIUM. Quicquid igitur absolute necessario exsistere perhibetur, id non propter rationem quandam exsistit, sed quia oppositum cogitabile plane non est. Haec oppositi impossibilitas est ratio cognoscendi exsistentiam, sed ratione antecedenter determinante plane caret. Exsistit; hoc vero de eodem et dixisse et concepisse sufficit.",
1.895,"Cetera notatu dignissima caloris phaenomena hic allegare supersedeo, quippe passim in sequentibus occursura.",
1.1179,"PROP. VII. PROBLEMA. Spatium, quod quaelibet monas sphaera activitatis suae occupat, salva ipsius simplicitate, ulterius a difficultatibus vindicare.",
1.1019,"Hinc substantia simplex omni nexu externo exempta, sibique adeo solitario relicta, per se plane est immutabilis.",
1.1204,"COROLL. Elementa sunt perfecte impenetrabilia, hoc est, quantacunque vi externa spatio, quod occupant, penitus excludi nescia, sed sunt condensibilia, et corpora etiam talia constituunt, quippe concedentia aliquantulum vi externae comprimenti. Hinc origo corporum s. mediorum primitive elasticorum, in quibus aetherem s. materiam ignis in antecessum profiteri liceat. FINIS.",
1.1172,COROLLARUIM. Corpus igitur quodlibet definito constat elementorum simplicium numero.,
2.690,"In composito substantiali, quemadmodum analysis non terminatur nisi parte quae non est totum, h. e. SIMPLICI, ita synthesis nonnisi toto quod non est pars, i. e. MUNDO.",
2.645,Sit mihi fas audita loqui. - - - VIRG.,
1.943,MONITUM.,
9.2194,Monomotapa.,
1.889,Corollarium generale.,
9.558,§. 40. Wahrnehmungs= und Erfahrungsurtheile.,
9.2198,"Matamba und die Anzikos, die Jaggas oder Schaggas.",
9.1918,m . Balsambäume.,
9.1946,c . Betel.,
2.688,SECTIO I. De notione mundi generatim.,
2.694,"§. 2. Momenta, in mundi definitione attendenda, haec sunt:",
1.905,Idem ex transparentia vitrorum fit probabile.,
9.737,§. 93. Probatio plus und minus probans.,
1.926,Observationum barometricarum cum hypothesi consensus.,
1.1038,DILUCIDATIO.,
1.1026,DILUCIDATIO.,
3.478,Anmerkung zur Amphibolie der Reflexionsbegriffe.,
4.399,Anmerkung zur Amphibolie der Reflexionsbegriffe.,
6.1178,Anmerkung. Bruchstück eines moralischen Katechism.,
9.1931,r . Gewürzbäume.,
9.1908,g . Der Baumwollenbaum.,
9.2154,Charakter der Nation in Sibirien.,
9.1739,o . Panther. Parder.,
9.1807,c . Blackfisch.,
9.1850,a . Die Tarantelspinne.,
9.1922,o . Harzbäume.,
9.1920,n . Gummibäume.,
7.684,c. Habsucht.,
8.696,1788,
8.215,1788,
5.1,1788,
1.1156,PRAENOTANDA.,
