ID,Absatz,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
4.555,Betrachtung über die Summe der reinen Seelenlehre zu Folge diesen Paralogismen.,
2.627,"Drittes Hauptstück. Antikabbala. Ein Fragment der gemeinen Philosophie, die Gemeinschaft mit der Geisterwelt aufzuheben.",
3.813,II. Auflösung der kosmologischen Idee von der Totalität der Theilung eines gegebenen Ganzen in der Anschauung.,
9.696,Das Princip der disjunctiven Vernunftschlüsse ist der Grundsatz des ausschließenden Dritten:,
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich,
8.256,A. Beweis der objectiven Realität des Begriffs vom zureichenden Grunde nach Herrn Eberhard.,
4.1039,Eintheilung aller möglichen Principien der Sittlichkeit aus dem angenommenen Grundbegriffe der Heteronomie.,
9.485,"§. 20. Logische Formen der Urtheile: Quantität, Qualität, Relation und Modalität.",
7.401,B. Von dem sinnlichen Dichtungsvermögen der Beigesellung.,
3.739,Auf der Seite des Empirismus in Bestimmung der kosmologischen Ideen oder der Antithesis findet sich,
4.505,"Erster Paralogism, der Substantialität.",
5.108,Der Analytik der praktischen Vernunft,
2.593,"Träume eines Geistersehers, erläutert durch Träume der Metaphysik.",
5.700,Es zeigt sich also in Ansehung des Princips des Geschmacks folgende Antinomie:,
3.273,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.224,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
3.295,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.245,Der Transscendentalen Doctrin der Urtheilskraft (oder Analytik der Grundsätze),
4.1046,Dritter Abschnitt. Übergang von der Metaphysik der Sitten zur Kritik der reinen praktischen Vernunft.,
4.631,§ 3. Anmerkung zur allgemeinen Eintheilung der Urtheile in analytische und synthetische.,
4.937,2. Zweiter Abschnitt: Übergang von der populären Moralphilosophie zur Metaphysik der Sitten.,
8.679,Vorrede zu Reinhold Bernhard Jachmanns Prüfung der Kantischen Religionsphilosophie.,
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.,
6.875,XIII. Allgemeine Grundsätze der Metaphysik der Sitten in Behandlung einer reinen Tugendlehre.,
4.960,Zweiter Abschnitt. Übergang von der populären sittlichen Weltweisheit zur Metaphysik der Sitten.,
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,
4.936,1. Erster Abschnitt: Übergang von der gemeinen sittlichen Vernunfterkenntniß zur philosophischen.,
9.829,§. 118. 4. Syllogistische - Tabellarische Methode.,
9.434,"§. 6. Logische Actus der Comparation, Reflexion und Abstraction.",
4.513,Kritik des zweiten Paralogisms der transscendentalen Psychologie.,
4.507,Kritik des ersten Paralogism der reinen Psychologie.,
4.532,Kritik des dritten Paralogisms der transscendentalen Psychologie.,
4.542,Kritik des vierten Paralogisms der transscendentalen Psychologie.,
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),
4.572,3. Die Synthesis der Bedingungen des reinen Denkens.,
3.44,V. In allen theoretischen Wissenschaften der Vernunft sind synthetische Urtheile a priori als Principien enthalten.,
4.117,"Diese Analytik ist die Zergliederung unseres gesammten Erkenntnisses a priori in die Elemente der reinen Verstandeserkenntniß. Es kommt hiebei auf folgende Stücke an: 1. Daß die Begriffe reine und nicht empirische Begriffe seien; 2. daß sie nicht zur Anschauung und zur Sinnlichkeit, sondern zum Denken und Verstande gehören; 3. daß sie Elementarbegriffe seien und von den abgeleiteten oder daraus zusammengesetzten wohl unterschieden werden; 4. daß ihre Tafel vollständig sei, und sie das ganze Feld des reinen Verstandes gänzlich ausfüllen. Nun kann diese Vollständigkeit einer Wissenschaft nicht auf den Überschlag eines blos durch Versuche zu Stande gebrachten Aggregats mit Zuverlässigkeit angenommen werden; daher ist sie nur vermittelst einer Idee des Ganzen der Verstandeserkenntniß a priori und durch die daraus bestimmte Abtheilung der Begriffe, welche sie ausmachen, mithin nur durch ihren Zusammenhang in einem System möglich. Der reine Verstand sondert sich nicht allein von allem Empirischen, sondern sogar von aller Sinnlichkeit völlig aus. Er ist also eine für sich selbst beständige, sich selbst gnugsame und durch keine äußerlich hinzukommende Zusätze zu vermehrende Einheit. Daher wird der Inbegriff seiner Erkenntniß ein unter einer Idee zu befassendes und zu bestimmendes System ausmachen, dessen Vollständigkeit und Articulation zugleich einen Probirstein der Richtigkeit und Ächtheit aller hineinpassenden Erkenntnißstücke abgeben kann. Es besteht aber dieser ganze Theil der transscendentalen Logik aus zwei Büchern, deren das eine die Begriffe, das andere die Grundsätze des reinen Verstandes enthält.",
5.880,Anhang. Methodenlehre der teleologischen Urtheilskraft.,
5.160,Kritische Beleuchtung der Analytik der reinen praktischen Vernunft.,
3.446,Der Transscendent. Doctrin der Urtheilskraft (Analytik der Grundsätze),
6.313,( Philosophia practica universalis. ),
4.34,Von dem Unterschiede analytischer und synthetischer Urtheile.,
3.937,Entdeckung und Erklärung des dialektischen Scheins in allen transscendentalen Beweisen vom Dasein eines nothwendigen Wesens.,
5.692,Der Kritik der ästhetischen Urtheilskraft,
5.544,Deduction der reinen ästhetischen Urtheile.,
3.58,"Die Kritik der Vernunft führt also zuletzt nothwendig zur Wissenschaft, der dogmatische Gebrauch derselben ohne Kritik dagegen auf grundlose Behauptungen, denen man eben so scheinbare entgegensetzen kann, mithin zum Scepticismus.",
3.607,Beschluß der Auflösung des psychologischen Paralogisms.,
6.385,Eintheilung der Metaphysik der Sitten überhaupt.,
5.758,Erste Abtheilung. Analytik der teleologischen Urtheilskraft.,
3.1223,"Demnach besteht das ganze System der Metaphysik aus vier Haupttheilen: 1. Der Ontologie. 2. Der rationalen Physiologie. 3. Der rationalen Kosmologie. 4. Der rationalen Theologie. Der zweite Theil, nämlich die Naturlehre der reinen Vernunft, enthält zwei Abtheilungen, die physica rationalis *) und psychologia rationalis .",
9.598,"Anmerkung 1. In allgemein bejahenden Urtheilen wird das Subject als ein contentum des Prädicats betrachtet, da es unter der Sphäre desselben enthalten",
9.64,"Von Lamberts Organon glaubte man zwar, daß es die Logik sehr vermehren würde. Aber es enthält weiter nichts mehr als nur subtilere Eintheilungen, die, wie alle richtigen Subtilitäten wohl den Verstand schärfen, aber von keinem wesentlichen Gebrauche sind.",
9.523,"§. 30. Modalität der Urtheile: Problematische, assertorische, apodiktische.",
9.759,§. 102. Synthetische Definitionen durch Exposition oder Construction.,
4.1330,"Dieser Lehrsatz bestimmt die Modalität der Bewegung in Ansehung der Dynamik; denn eine Bewegung, die nicht ohne den Einfluß einer continuirlich wirkenden äußern bewegenden Kraft stattfinden kann, beweiset mittelbar oder unmittelbar ursprüngliche Bewegkräfte der Materie, es sei der Anziehung oder Zurückstoßung. Übrigens kann Newtons Scholium zu den Definitionen, die er seinen Princ. Phil. Nat. Math. vorangesetzt hat, gegen das Ende hierüber nachgesehen werden, aus welchem erhellt, daß die Kreisbewegung zweier Körper um einen gemeinschaftlichen Mittelpunkt (mithin auch die Achsendrehung der Erde) selbst im leeren Raume, also ohne alle durch Erfahrung mögliche Vergleichung mit dem äußeren Raume, dennoch vermittelst der Erfahrung könne erkannt werden, daß also eine Bewegung, die eine Veränderung der äußeren Verhältnisse im Raume ist, empirisch gegeben werden könne, obgleich dieser Raum selbst nicht empirisch gegeben und kein Gegenstand der Erfahrung ist, welches Paradoxon aufgelöset zu werden verdient.",
7.522,"§ 54. Unter Talent (Naturgabe) versteht man diejenige Vorzüglichkeit des Erkenntnißvermögens, welche nicht von der Unterweisung, sondern der natürlichen Anlage des Subjects abhängt. Sie sind der productive Witz ( ingenium strictus s. materialiter dictum ), die Sagacität und die Originalität im Denken (das Genie).",
9.500,"§. 23. Relation der Urtheile: Kategorische, Hypothetische, Disjunctive.",
9.86,"Der Vernunftkünstler oder, wie Sokrates ihn nennt, der Philodox, strebt bloß nach speculativem Wissen, ohne darauf zu sehen, wie viel das Wissen zum letzten Zwecke der menschlichen Vernunft beitrage; er giebt Regeln für den Gebrauch der Vernunft zu allerlei beliebigen Zwecken. Der praktische Philosoph, der Lehrer der Weisheit durch Lehre und Beispiel, ist der eigentliche Philosoph. Denn Philosophie ist die Idee einer vollkommenen Weisheit, die uns die letzten Zwecke der menschlichen Vernunft zeigt.",
9.541,"Analytische Sätze heißen solche, deren Gewißheit auf Identität der Begriffe (des Prädicats mit der Notion des Subjects) beruht. Sätze, deren Wahrheit sich nicht auf Identität der Begriffe gründet, müssen synthetische genannt werden.",
9.816,"Anmerkung 1. Alle Polytomie ist empirisch, die Dichotomie ist die einzige Eintheilung aus Principien a priori, also die einzige primitive Eintheilung. Denn die Glieder der Eintheilung sollen einander entgegengesetzt sein und von jedem A ist doch das Gegentheil nichts mehr als non A .",
6.914,Zweite Eintheilung der Ethik nach Principien eines Systems der reinen praktischen Vernunft.,
5.727,"§ 58. Vom Idealismus der Zweckmäßigkeit der Natur sowohl als Kunst, als dem alleinigen Princip der ästhetischen Urtheilskraft.",
6.272,Erster Theil. Metaphysische Anfangsgründe der Rechtslehre.,
5.339,Erster Abschnitt. Analytik der ästhetischen Urtheilskraft.,
2.525,"§ 1. Die Mathematik gelangt zu allen ihren Definitionen synthetisch, die Philosophie aber analytisch.",
4.882,Auflösung der allgemeinen Frage der Prolegomenen. Wie ist Metaphysik als Wissenschaft möglich?,
9.42,"Wollte man diese bloß theoretische und allgemeine Doctrin zu einer praktischen Kunst, d. i. zu einem Organon brauchen: so würde sie Dialektik werden. Eine Logik des Scheins ( ars sophistica, disputatoria ), die aus einem bloßen Mißbrauche der Analytik entspringt, sofern nach der bloßen logischen Form der Schein einer wahren Erkenntniß, deren Merkmale doch von der Übereinstimmung mit den Objecten, also vom Inhalte hergenommen sein müssen, erkünstelt wird.",
9.45,"Man pflegt die Logik ferner einzutheilen 2) in die natürliche oder populare und in die künstliche oder wissenschaftliche Logik ( logica naturalis, log. scholastica s. artificialis ).",
9.328,"II ) auch keine Objecte des Vernunfterkenntnisses (Erkenntnisses a priori), weder des theoretischen, z. B. in der Mathematik und Metaphysik, noch des praktischen in der Moral.",
2.551,"Es ist noch lange die Zeit nicht, in der Metaphysik synthetisch zu verfahren; nur wenn die Analysis uns wird zu deutlich und ausführlich verstandenen Begriffen verholfen haben, wird die Synthesis den einfachsten Erkenntnissen die zusammengesetzte, wie in der Mathematik, unterordnen können.",
4.114,IV. Von der Eintheilung der transscendentalen Logik in die Transscendentale Analytik und Dialektik.,
3.150,IV. Von der Eintheilung der transscendentalen Logik in die Transscendentale Analytik und Dialektik.,
3.113,§ 8. Allgemeine Anmerkungen zur Transscendentalen Ästhetik.,
4.722,Reine Physiologische Tafel allgemeiner Grundsätze der Naturwissenschaft.,
9.727,§. 89. Kategorische und hypothetische Sorites.,
9.626,"§. 60. Eintheilung der Vernunftschlüsse (der Relation nach) in kategorische, hypothetische und disjunctive.",
2.287,Sechste Betrachtung. Verbesserte Methode der Physikotheologie.,
9.720,§. 86. Ratiocinatio polysyllogistica.,
5.481,"§ 26. Von der Größenschätzung der Naturdinge, die zur Idee des Erhabenen erforderlich ist.",
6.90,b) Objective Realität dieser Idee.,
6.828,"VII. Die ethischen Pflichten sind von weiter, dagegen die Rechtspflichten von enger Verbindlichkeit.",
9.1593,Anmerkung. Das Beste hierüber hat ebenfalls Girtanner a. a. O. beigebracht.,
5.612,"1) Kunst wird von der Natur, wie Thun ( facere ) vom Handeln oder Wirken überhaupt ( agere ) und das Product, oder die Folge der erstern, als Werk ( opus ) von der letztern als Wirkung ( effectus ) unterschieden.",
2.25,"a) Von den Veränderungen, die auf derselben noch fortdauren.",
5.772,§ 64. Von dem eigenthümlichen Charakter der Dinge als Naturzwecke.,
9.378,"Es giebt mehrere Ursachen, durch die das Vorurtheil des Alterthums erzeugt und unterhalten wird.",
9.566,"§. 43. Verstandesschlüsse, Vernunftschlüsse und Schlüsse der Urtheilskraft.",
8.692,Recension von Silberschlags Schrift: Theorie der am 23. Juli 1762 erschienenen Feuerkugel.,
6.739,2. Rechtfertigung des Begriffs von einem auf dingliche Art persönlichen Recht.,
6.674,Von dem rechtlichen Verhältnisse des Bürgers zum Vaterlande und zum Auslande.,
6.398,"Von der Eintheilung der Moral, als eines Systems der Pflichten überhaupt.",
5.300,"IV. Von der Urtheilskraft, als einem a priori gesetzgebenden Vermögen.",
9.941,Aus dieser Bewegung der Erde nun um die Sonne entstehen folgende Kreise:,
3.1071,"2. von den Axiomen. Diese sind synthetische Grundsätze a priori, so",
